timestamp,open,high,low,close,volume
2024-01-15 09:30,4780.00,4782.50,4779.00,4781.75,1200
2024-01-15 09:31,4781.75,4783.00,4780.50,4782.25,980
2024-01-15 09:32,4782.25,4784.00,4781.00,4783.50,1100
2024-01-15 09:33,4783.50,4785.25,4782.75,4784.00,870
2024-01-15 09:34,4784.00,4786.00,4783.25,4785.50,1350
2024-01-15 09:35,4785.50,4787.00,4784.75,4786.25,1050
2024-01-15 09:36,4786.25,4787.50,4785.00,4786.75,920
2024-01-15 09:37,4786.75,4788.00,4785.50,4787.50,1400
2024-01-15 09:38,4787.50,4789.25,4786.75,4788.00,1180
2024-01-15 09:39,4788.00,4789.75,4787.00,4789.25,890
2024-01-15 09:40,4789.25,4790.50,4788.00,4789.75,1020
2024-01-15 09:41,4789.75,4791.00,4788.50,4790.50,1300
2024-01-15 09:42,4790.50,4791.75,4789.25,4791.00,960
2024-01-15 09:43,4791.00,4792.00,4789.75,4790.25,1150
2024-01-15 09:44,4790.25,4791.50,4788.75,4789.50,1400
2024-01-15 09:45,4789.50,4790.75,4787.50,4788.00,1600
2024-01-15 09:46,4788.00,4789.25,4786.50,4787.25,1250
2024-01-15 09:47,4787.25,4788.00,4785.00,4786.00,1100
2024-01-15 09:48,4786.00,4787.50,4784.75,4785.50,980
2024-01-15 09:49,4785.50,4786.25,4783.75,4784.75,870
2024-01-15 09:50,4784.75,4786.00,4783.25,4785.25,950
2024-01-15 09:51,4785.25,4786.75,4784.00,4786.00,1030
2024-01-15 09:52,4786.00,4787.50,4785.00,4787.25,1120
2024-01-15 09:53,4787.25,4788.75,4786.00,4788.00,1200
2024-01-15 09:54,4788.00,4789.25,4787.25,4789.00,940
2024-01-15 09:55,4789.00,4790.50,4788.25,4790.25,1080
2024-01-15 09:56,4790.25,4791.00,4789.00,4790.75,880
2024-01-15 09:57,4790.75,4792.00,4789.75,4791.50,1340
2024-01-15 09:58,4791.50,4793.00,4790.75,4792.25,1150
2024-01-15 09:59,4792.25,4793.50,4791.25,4793.00,990
